time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/loss,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/approx_kl
48,62,196608,3149,929.26,0.35064175724983215,-18.43857247,0.0003,0.8981400072574616,0.2,0.01220703125,470,-0.001847072213422507,0.9908531848341227,-0.7653850212693214,0.0026041013
49,62,200704,3209,930.64,1.1468040943145752,-17.81235001,0.0003,2.3710273832082747,0.2,0.000439453125,480,-0.0007566009531728924,0.9882258893921971,-0.7820428386330605,0.00079914473
50,62,204800,3268,930.64,0.7236599922180176,-15.659041000000002,0.0003,1.9705546468496322,0.2,0.0014892578125,490,-0.0004600773856509477,0.983186312019825,-0.7338501021265984,0.0006166753
51,62,208896,3328,930.64,0.1283256709575653,-16.364620170000002,0.0003,0.3343385361135006,0.2,0.0052490234375,500,-0.0017795361520256848,0.9949638522230089,-0.7137321069836616,0.002767502
52,62,212992,3387,930.64,1.0715197324752808,-16.87665477,0.0003,2.4213625699281693,0.2,0.007421875,510,-0.0009624338243156671,0.9851183667778969,-0.6647890135645866,0.0020172691
53,63,217088,3445,924.82,0.1707434058189392,-16.883256959999997,0.0003,0.41421145349740984,0.2,0.0089111328125,520,-0.002034377126256004,0.9958066483959556,-0.6376093462109566,0.00207776
54,63,221184,3501,932.76,6.246792316436768,-15.598525769999998,0.0003,13.213816100358963,0.2,0.0126708984375,530,-0.00210663954494521,0.9050868302583694,-0.6052488386631012,0.0049683694
55,63,225280,3562,932.76,0.2617502510547638,-15.780688280000001,0.0003,0.7932357519865036,0.2,0.0081298828125,540,-0.0006715665687806905,0.9898277055472136,-0.6412619709968567,0.0016137988
56,63,229376,3619,932.76,0.21663694083690643,-16.228781510000005,0.0003,0.6490637674927712,0.2,0.0208740234375,550,-0.0011412905616452918,0.9900763770565391,-0.6980243116617203,0.0017544022
57,63,233472,3680,926.91,0.23172548413276672,-18.234404929999997,0.0003,0.6182345077395439,0.2,0.01259765625,560,-0.0018241001991555095,0.9938838132657111,-0.679396778345108,0.000935519
58,63,237568,3741,926.91,7.157159805297852,-18.74118265,0.0003,10.959621205925941,0.2,0.033447265625,570,-0.0006370973598677665,0.9206700697541237,-0.6873849838972091,0.0051151887
59,63,241664,3803,926.91,0.26705992221832275,-19.166809150000002,0.0003,0.5652786217629909,0.2,0.0048095703125,580,-0.0005696643667761237,0.9909995198249817,-0.6230255261063575,0.002509602
60,63,245760,3862,932.21,0.48688414692878723,-19.07934623,0.0003,1.5907561227679252,0.2,0.0107421875,590,-0.0012799243500921874,0.9850333593785763,-0.6297018602490425,0.002661596
61,63,249856,3927,944.69,0.31901612877845764,-18.470627649999997,0.0003,1.1194050520658494,0.2,0.0090576171875,600,-0.0014733362884726375,0.9895481839776039,-0.5766052857041359,0.0016635966
62,63,253952,3986,944.69,0.40860795974731445,-17.36791549,0.0003,1.0772445172071456,0.2,0.0257080078125,610,-0.001989627239527181,0.9892558278515935,-0.6389596104621887,0.0027366537
63,63,258048,4046,950.72,0.22243058681488037,-17.65547824,0.0003,0.728629395365715,0.2,0.0128173828125,620,-0.0021279953012708574,0.99032923579216,-0.6536413758993149,0.00245864
64,63,262144,4103,962.84,0.11813706904649734,-17.12501058,0.0003,0.4253399856388569,0.2,0.0060546875,630,-0.0016993214725516737,0.9950105459429324,-0.6100387334823608,0.0013246643
65,63,266240,4163,965.62,0.2009924054145813,-18.719507800000002,0.0003,0.5097234778106212,0.2,0.008642578125,640,-0.0008325902512297034,0.9938402087427676,-0.6324249356985092,0.0023811434
66,64,270336,4223,971.61,2.716747760772705,-17.794086980000003,0.0003,13.386818701028824,0.2,0.0031494140625,650,-0.000894890702329576,0.9034540429711342,-0.6748528420925141,0.0014102468
67,64,274432,4282,978.2,0.243706613779068,-18.06101503,0.0003,0.740575835108757,0.2,0.0116943359375,660,-0.001226002158364281,0.9911982044577599,-0.6550645142793655,0.00346318
68,64,278528,4343,978.2,0.43807774782180786,-18.54075718,0.0003,1.4858987972140312,0.2,0.0273681640625,670,-0.0009129916492383927,0.9753753840923309,-0.8853484690189362,0.007593544
69,64,282624,4405,985.15,0.2883094549179077,-19.9326532,0.0003,0.9347639545798302,0.2,0.022265625,680,-0.002997082460206002,0.9834864344447851,-0.8505655854940415,0.0053344527
70,64,286720,4467,985.15,0.34382468461990356,-20.237015470000003,0.0003,1.0213103652000428,0.2,0.024853515625,690,-0.003713860095012933,0.9824660383164883,-0.8596472114324569,0.0040085847
71,64,290816,4526,985.15,0.23407875001430511,-20.128168379999998,0.0003,0.5851940765976906,0.2,0.0105712890625,700,-0.00208608127431944,0.988464049063623,-0.7239715069532394,0.0046214825
72,64,294912,4588,985.15,0.5432378053665161,-19.65422556,0.0003,1.7116683810949325,0.2,0.0057373046875,710,-0.0016899237525649369,0.9818117097020149,-0.5842247202992439,0.0011777347
73,64,299008,4649,985.15,0.16714031994342804,-20.29524967,0.0003,0.4549023449420929,0.2,0.0187744140625,720,-0.0026225797832012177,0.9911250835284591,-0.5975331395864487,0.0025011958
74,64,303104,4711,985.15,0.2545921206474304,-22.272069629999997,0.0003,0.6988688468933105,0.2,0.0027099609375,730,-0.0011711487430147826,0.9891251418739557,-0.607628746330738,0.001151375
75,64,307200,4773,985.15,0.13320526480674744,-21.76575146,0.0003,0.3761972837150097,0.2,0.004296875,740,-0.0023923158063553275,0.9943125364370644,-0.5507326424121857,0.0010587738
