time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/loss,rollout/ep_rew_mean,train/explained_variance,train/approx_kl,train/policy_gradient_loss,rollout/ep_len_mean,train/clip_range,train/entropy_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/std
37376,73,42,871,0.06585951437009499,-0.009515668265521526,-56.81630467567568,-0.010359525680541992,0.012940506,-0.005667085340246558,996.8108108108108,0.2,-4.233721923828125,0.0001,0.0708984375,720,0.9920194149017334
37888,74,42,883,0.5822375997900963,0.15760263800621033,-56.09294460526316,0.3457282781600952,0.0010776457,-0.0007116944063454867,996.8947368421053,0.2,-4.231539678573609,0.0001,0.0,730,0.9911972284317017
38400,75,42,895,7.292044603824616,3.414407968521118,-56.09294460526316,0.42722392082214355,0.00083268085,-0.0021381421713158487,996.8947368421053,0.2,-4.229869961738586,0.0001,0.0,740,0.9911512136459351
38912,76,42,905,0.562786765769124,0.2123713344335556,-56.6864268974359,0.7438189387321472,0.0076837023,-0.0023867719806730746,996.974358974359,0.2,-4.22980660200119,0.0001,0.01796875,750,0.9907755851745605
39424,77,42,918,0.40711379796266556,0.11010587960481644,-56.6864268974359,0.8484868556261063,0.0071127387,-0.003376664058305323,996.974358974359,0.2,-4.229556560516357,0.0001,0.0234375,760,0.9915515780448914
39936,78,42,928,3.4167615324258804,1.1768879890441895,-56.65402459999999,0.5858424305915833,0.0037669507,-0.002779927011579275,997.05,0.2,-4.232017064094544,0.0001,0.0033203125,770,0.9918550252914429
40448,79,43,939,0.28927745278924705,0.17125222086906433,-56.65402459999999,0.9197675362229347,0.0023536524,-0.0014057944994419814,997.05,0.2,-4.229642069339752,0.0001,0.00078125,780,0.9898170232772827
40960,80,42,952,4.1093266129493715,1.8015573024749756,-56.561535048780485,0.6864457428455353,0.0049897963,-0.00018246221588924527,997.1219512195122,0.2,-4.224474823474884,0.0001,0.03671875,790,0.9891137480735779
41472,81,43,963,1.7929304361343383,0.7640933394432068,-56.561535048780485,0.4962252378463745,0.0018774414,-0.0011848205234855414,997.1219512195122,0.2,-4.223525989055633,0.0001,0.0029296875,800,0.988839328289032
41984,82,42,977,2.2908509194850923,0.7048285603523254,-58.249867023809514,0.5589561462402344,0.00063311355,-0.0003647448029369116,996.3095238095239,0.2,-4.222831380367279,0.0001,0.0,810,0.9887441396713257
42496,83,42,989,132.99890432357788,100.4865951538086,-58.249867023809514,0.17911547422409058,0.0007960857,-0.009922924754209816,996.3095238095239,0.2,-4.222703504562378,0.0001,0.0046875,820,0.988692045211792
43008,84,42,1002,0.15416009053587915,0.08667515963315964,-58.445606558139524,0.6487905979156494,0.0144336615,-0.007012867485173047,996.3953488372093,0.2,-4.222639286518097,0.0001,0.0685546875,830,0.988695502281189
43520,85,42,1012,0.42835502326488495,0.19098509848117828,-58.445606558139524,0.8769413083791733,0.004847436,-0.0026148143806494772,996.3953488372093,0.2,-4.222515344619751,0.0001,0.0095703125,840,0.9885560870170593
44032,86,43,1023,3.626776921749115,1.1167247295379639,-58.12739831818181,0.7266529202461243,0.0017237945,-0.0006900008302181959,996.4772727272727,0.2,-4.221674835681915,0.0001,0.0,850,0.9881446361541748
44544,87,42,1036,0.6731274798512459,0.11638469994068146,-58.12739831818181,0.9175000116229057,0.0040929476,-0.0033652785466983916,996.4772727272727,0.2,-4.221609306335449,0.0001,0.0064453125,860,0.9887182712554932
45056,88,42,1051,0.8382648132741451,0.6341184377670288,-57.99245157777777,0.9281871691346169,0.0003637846,-0.0003472926560789347,996.5555555555555,0.2,-4.222672235965729,0.0001,0.0,870,0.9885472059249878
45568,89,42,1063,0.8255126424133777,0.36653831601142883,-57.99245157777777,0.9339897856116295,0.0013556088,-0.0014410017989575862,996.5555555555555,0.2,-4.221542477607727,0.0001,0.0,880,0.9880694150924683
46080,90,42,1075,0.025905644800513983,0.022836308926343918,-60.39397754347826,0.8332100659608841,0.009283636,-0.005912666651420295,995.7173913043479,0.2,-4.221413540840149,0.0001,0.0802734375,890,0.9884593486785889
46592,91,42,1086,127.09426736831665,47.25859069824219,-60.39397754347826,0.169575035572052,0.00037704315,-0.0005753344506956637,995.7173913043479,0.2,-4.221489977836609,0.0001,0.0,900,0.9882737398147583
47104,92,42,1098,0.6314090635627508,0.2334398329257965,-60.385595042553184,0.8510319143533707,0.00021324027,-0.0003054604632779956,995.8085106382979,0.2,-4.220961618423462,0.0001,0.0,910,0.9879775047302246
47616,93,42,1111,1.3770080834627152,0.570228636264801,-60.385595042553184,0.733904093503952,0.00033967255,-0.000990120938513428,995.8085106382979,0.2,-4.220026767253875,0.0001,0.0,920,0.9876748323440552
48128,94,42,1123,0.4164612367749214,0.0757356509566307,-60.02418629166666,0.9202516451478004,0.0005782471,-0.0006936062593013049,995.8958333333334,0.2,-4.2202470898628235,0.0001,0.0,930,0.9883975982666016
48640,95,42,1134,0.6431230582296849,0.25481903553009033,-60.02418629166666,0.9533688127994537,0.00038381526,-0.00028805037727579473,995.8958333333334,0.2,-4.222794020175934,0.0001,0.0,940,0.9889845848083496
49152,96,42,1147,0.43789998069405556,0.14213071763515472,-59.938712326530606,0.8000439405441284,0.009507574,-0.0076751005835831165,995.9795918367347,0.2,-4.223145997524261,0.0001,0.090234375,950,0.9884532690048218
49664,97,42,1159,0.38022358119487765,0.06466031819581985,-59.938712326530606,0.914063885807991,0.0106878355,-0.005948803923092783,995.9795918367347,0.2,-4.2222561001777645,0.0001,0.044921875,960,0.9886710047721863
50176,98,42,1172,1.0509266421198844,0.2525388300418854,-59.802438079999995,0.8263275921344757,0.0007316314,-0.001552207604981959,996.06,0.2,-4.222154664993286,0.0001,0.0,970,0.9883458018302917
50688,99,42,1186,1.331299716234207,0.3821306824684143,-59.802438079999995,0.7442186176776886,0.00063922966,-0.000800950638949871,996.06,0.2,-4.221586680412292,0.0001,0.0,980,0.9883968830108643
51200,100,42,1199,0.19377974942326545,0.0926818996667862,-60.120574529411755,0.5863995552062988,0.009740875,-0.004051718406844884,996.1372549019608,0.2,-4.222620487213135,0.0001,0.0681640625,990,0.989001452922821
51712,101,42,1212,1.6628993064165116,0.5404417514801025,-60.120574529411755,0.7239902019500732,0.00024808547,5.592883098870516e-05,996.1372549019608,0.2,-4.223786449432373,0.0001,0.0,1000,0.9891245365142822
52224,102,42,1225,3.393472170829773,0.9706287384033203,-59.01131394230768,0.5098716616630554,0.0008582028,-0.0010159001918509602,996.2115384615385,0.2,-4.2240939259529116,0.0001,0.0,1010,0.9892033338546753
52736,103,42,1237,2.341267114877701,0.8832213282585144,-59.01131394230768,0.6402449905872345,0.0012537243,-0.0017301817890256644,996.2115384615385,0.2,-4.224001932144165,0.0001,0.0,1020,0.9889650344848633
53248,104,42,1249,0.7510720737278461,0.283720463514328,-58.83813398113207,0.811614990234375,0.0015573198,-0.00097191515378654,996.2830188679245,0.2,-4.222765862941742,0.0001,0.000390625,1030,0.9884849786758423
53760,105,42,1260,0.6188984036445617,0.3393309712409973,-58.83813398113207,0.9189220890402794,0.013085175,-0.008429911243729294,996.2830188679245,0.2,-4.220809519290924,0.0001,0.0896484375,1040,0.987745463848114
54272,106,42,1273,1.1153806179761887,0.39143770933151245,-58.8123687037037,0.8810307458043098,0.0012470838,-0.0008174333721399307,996.3518518518518,0.2,-4.219353175163269,0.0001,0.0,1050,0.987428605556488
54784,107,42,1286,3.0528635382652283,1.2352211475372314,-58.8123687037037,0.852406233549118,0.0012901837,-0.001089540566317737,996.3518518518518,0.2,-4.218263769149781,0.0001,0.0001953125,1060,0.9870876669883728
55296,108,42,1298,3.9565307915210726,1.3710505962371826,-58.4173455090909,0.38557595014572144,0.00031706085,-0.000569045334123075,996.4181818181818,0.2,-4.217328417301178,0.0001,0.0,1070,0.9867252111434937
55808,109,42,1309,1.2925067737698555,0.59385746717453,-58.49358160714285,0.8001339286565781,0.0011700285,-0.0009031934197992087,996.4821428571429,0.2,-4.216121172904968,0.0001,0.0,1080,0.9863823652267456
56320,110,42,1320,0.02839782999944873,0.003930896520614624,-58.49358160714285,0.9874598849564791,0.0029781081,-0.004432253446429968,996.4821428571429,0.2,-4.215581429004669,0.0001,0.0203125,1090,0.9860641956329346
56832,111,42,1331,0.22041289350017906,0.028696395456790924,-58.78934531578946,0.9625779539346695,0.012832773,-0.007691853819414974,996.5438596491229,0.2,-4.214046382904053,0.0001,0.0654296875,1100,0.9857906699180603
57344,112,42,1346,0.6219356887042522,0.2553917467594147,-58.78934531578946,0.8546448945999146,0.0035779353,-0.0029463944025337695,996.5438596491229,0.2,-4.213820827007294,0.0001,0.0029296875,1110,0.9859950542449951
57856,113,42,1359,1.5675781667232513,0.41521257162094116,-58.62909710344827,0.7414986193180084,0.00051403616,-0.000705433136317879,996.6034482758621,0.2,-4.214265906810761,0.0001,0.0,1120,0.9858852624893188
58368,114,42,1371,1.4480738416314125,0.3659534752368927,-58.62909710344827,0.7891259044408798,0.00087437977,-0.0016344916541129351,996.6034482758621,0.2,-4.214082372188568,0.0001,0.0,1130,0.9860774278640747
58880,115,42,1383,0.9415435366332531,0.20857051014900208,-58.36663466101694,0.8924760818481445,0.0030577895,-0.002185717667452991,996.6610169491526,0.2,-4.214732980728149,0.0001,0.0005859375,1140,0.9861171245574951
59392,116,42,1395,1.5887036472558975,0.49485111236572266,-58.36663466101694,0.7962381094694138,0.001054763,-0.0005649347556754946,996.6610169491526,0.2,-4.214514768123626,0.0001,0.0,1150,0.985980212688446
59904,117,42,1407,0.798838946968317,0.2498965859413147,-58.68029594999999,0.15674716234207153,0.0010586906,-0.001337632373906672,996.7166666666667,0.2,-4.2138406991958615,0.0001,0.0,1160,0.9857019186019897
60416,118,42,1417,0.6570773892104625,0.23133108019828796,-58.68029594999999,0.7782517522573471,0.0013769275,-0.0014234174974262714,996.7166666666667,0.2,-4.213238000869751,0.0001,0.0,1170,0.9855760931968689
60928,119,42,1429,0.00930788266705349,-0.005636622663587332,-58.944883622950805,-0.3049812316894531,0.008265583,-0.0052600626833736895,996.7704918032787,0.2,-4.212427163124085,0.0001,0.0904296875,1180,0.98524010181427
61440,120,42,1442,0.2954602994956076,0.06428292393684387,-60.11177512903224,0.9423153288662434,0.0010534921,-0.0004440425429493189,988.9193548387096,0.2,-4.212906134128571,0.0001,0.0,1190,0.9860181212425232
61952,121,42,1453,124.64190163612366,65.17797088623047,-60.11177512903224,0.24162274599075317,0.0003600308,-0.0017555022845044733,988.9193548387096,0.2,-4.215020847320557,0.0001,0.0,1200,0.986244797706604
62464,122,42,1465,1.7181709557771683,0.8536654710769653,-59.63205328571427,0.903174415230751,0.0016508967,-0.0027388116344809533,989.0952380952381,0.2,-4.214761054515838,0.0001,0.0,1210,0.9859098792076111
62976,123,42,1478,0.27139733973890545,0.1200348436832428,-59.63205328571427,0.9275771453976631,0.013353437,-0.009008153178729116,989.0952380952381,0.2,-4.213111495971679,0.0001,0.06796875,1220,0.9852184653282166
63488,124,42,1490,0.10448503922671079,0.030911259353160858,-59.817786625,0.9400384724140167,0.0067826295,-0.008081984031014145,989.265625,0.2,-4.2118844270706175,0.0001,0.126953125,1230,0.9853295087814331
64000,125,42,1502,1.3605679646134377,0.44784292578697205,-59.817786625,0.8518868088722229,0.0004704831,-0.000641699496190995,989.265625,0.2,-4.212413084506989,0.0001,0.0,1240,0.9853618144989014
64512,126,42,1514,2.098879474401474,0.5784880518913269,-59.1338284,0.6924442946910858,0.00035247684,-0.0009945599129423499,989.4307692307692,0.2,-4.2123893857002255,0.0001,0.0,1250,0.9853314757347107
65024,127,42,1527,1.1014341592788697,0.37556901574134827,-59.1338284,0.9428215324878693,0.0017002537,-0.0024669538252055645,989.4307692307692,0.2,-4.212256777286529,0.0001,0.0005859375,1260,0.9852900505065918
65536,128,42,1540,2.343001440167427,0.4060388207435608,-58.60753743939393,0.6191369295120239,0.0009451724,-0.0018986701732501387,989.5909090909091,0.2,-4.212293601036071,0.0001,0.0,1270,0.9853936433792114
66048,129,42,1551,3.990247654914856,1.5134787559509277,-58.60753743939393,0.8650155812501907,0.0005671893,-0.0008444648934528232,989.5909090909091,0.2,-4.21255339384079,0.0001,0.0,1280,0.9854365587234497
66560,130,42,1562,2.290828539431095,0.7956432700157166,-57.96540129850746,0.7504721283912659,0.00016697624,-0.00038410936249420045,989.7462686567164,0.2,-4.2123770952224735,0.0001,0.0,1290,0.9852427244186401
67072,131,42,1574,0.6568834885954857,0.24245433509349823,-58.63311544117647,0.9555872045457363,0.007271359,-0.003378220950253308,981.0882352941177,0.2,-4.211712753772735,0.0001,0.016796875,1300,0.985019326210022
