train/learning_rate,time/episodes,time/fps,rollout/ep_len_mean,train/loss,time/total_timesteps,train/n_updates,rollout/exploration_rate,rollout/ep_rew_mean,time/time_elapsed
0.0001,1092,727,144.73,1.9963493347167969,158194,39523,0.05,-159.60221888,217
0.0001,1096,727,146.04,0.16768814623355865,158833,39683,0.05,-156.49761443,218
0.0001,1100,726,146.71,56.821311950683594,159475,39843,0.05,-158.8482292,219
0.0001,1104,726,147.45,0.037186697125434875,160124,40005,0.05,-160.78315815999997,220
0.0001,1108,726,146.64,0.3681260049343109,160592,40122,0.05,-157.75232848,221
0.0001,1112,726,146.82,0.3759309947490692,161172,40267,0.05,-158.35020810000003,221
0.0001,1116,726,146.02,0.20956948399543762,161711,40402,0.05,-155.04957736999998,222
0.0001,1120,726,146.4,63.30762481689453,162307,40551,0.05,-152.09563501,223
0.0001,1124,726,144.4,3.3360824584960938,162767,40666,0.05,-152.44121060999998,224
0.0001,1128,726,143.01,21.770824432373047,163287,40796,0.05,-151.00642483000001,224
0.0001,1132,726,142.46,4.0343337059021,163901,40950,0.05,-151.00896977,225
0.0001,1136,726,143.77,0.7782135009765625,164600,41124,0.05,-150.70997472,226
0.0001,1140,726,143.75,2.2356719970703125,165232,41282,0.05,-152.81083881,227
0.0001,1144,726,141.78,6.354204177856445,165733,41408,0.05,-154.94058487999996,228
0.0001,1148,726,141.96,15.113313674926758,166218,41529,0.05,-150.48217338999999,228
0.0001,1152,726,142.03,3.8657655715942383,166744,41660,0.05,-148.43691394,229
0.0001,1156,726,142.53,4.164707183837891,167293,41798,0.05,-147.03723022999998,230
0.0001,1160,726,143.64,1.118988037109375,167916,41953,0.05,-147.22986795,231
0.0001,1164,726,144.03,58.80326461791992,168621,42130,0.05,-146.1193278,232
0.0001,1168,726,142.86,14.860214233398438,169061,42240,0.05,-146.71461012,232
0.0001,1172,726,145.35,0.7612743377685547,169798,42424,0.05,-145.82768906,233
0.0001,1176,726,148.1,13.39187240600586,170687,42646,0.05,-144.26606645,234
0.0001,1180,726,148.86,9.066028594970703,171360,42814,0.05,-143.95821616,235
0.0001,1184,726,150.34,2.105313301086426,171984,42970,0.05,-146.25018596,236
0.0001,1188,726,151.21,4.498291015625,172674,43143,0.05,-146.10212886000002,237
0.0001,1192,726,151.3,3.342466354370117,173324,43305,0.05,-140.49764649,238
0.0001,1196,726,149.55,0.04474806785583496,173788,43421,0.05,-142.98189011,239
0.0001,1200,726,149.44,0.5125503540039062,174419,43579,0.05,-142.22004223000005,240
0.0001,1204,726,150.06,5.596292495727539,175130,43757,0.05,-138.92346851,241
0.0001,1208,726,152.01,0.07789669930934906,175793,43923,0.05,-139.47701395,241
0.0001,1212,726,152.85,8.051416397094727,176457,44089,0.05,-137.95011638000003,242
0.0001,1216,726,153.47,1.1537361145019531,177058,44239,0.05,-135.93211196000001,243
0.0001,1220,726,152.44,1.6360492706298828,177551,44362,0.05,-134.72371815,244
0.0001,1224,726,155.66,8.705615043640137,178333,44558,0.05,-134.60619037000004,245
0.0001,1228,726,158.16,2.0367817878723145,179103,44750,0.05,-133.62720645000002,246
0.0001,1232,726,158.47,2.1249589920043945,179748,44911,0.05,-131.38030766,247
0.0001,1236,725,163.19,5.497455596923828,180919,45204,0.05,-131.13480628999997,249
0.0001,1240,725,163.07,5.765983581542969,181539,45359,0.05,-134.00403113000002,250
0.0001,1244,725,162.4,2.2008156776428223,181973,45468,0.05,-136.91017624000003,250
0.0001,1248,724,168.86,16.715072631835938,183104,45750,0.05,-136.26024470000002,252
0.0001,1252,724,173.2,1.9395513534545898,184064,45990,0.05,-138.15688114,254
0.0001,1256,723,179.62,2.1557092666625977,185255,46288,0.05,-138.35755377,255
0.0001,1260,723,179.63,0.690704345703125,185879,46444,0.05,-139.63830963,256
0.0001,1264,723,184.72,0.054817210882902145,187093,46748,0.05,-136.98605914,258
