rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/exploration_rate,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/loss
517.78,997,788,0.05,353413,354,106.07265070000001,88328,0.0001,0.228207528591156
530.11,1005,792,0.05,355955,353,109.36859580999999,88963,0.0001,2.2764103412628174
537.63,1012,796,0.05,358558,353,110.14283273999999,89614,0.0001,0.28715184330940247
538.08,1019,800,0.05,360852,353,104.91298631,90187,0.0001,0.22093984484672546
537.39,1024,804,0.05,362662,354,105.51879894999998,90640,0.0001,0.7566863298416138
541.92,1031,808,0.05,365056,354,99.24846706999999,91238,0.0001,0.24547895789146423
542.62,1036,812,0.05,366922,353,94.36186954000003,91705,0.0001,0.08992621302604675
539.73,1041,816,0.05,368913,354,97.89993939000001,92203,0.0001,0.149052232503891
535.62,1046,820,0.05,370875,354,94.26829829,92693,0.0001,0.8111695051193237
540.95,1051,824,0.05,372729,354,99.55831315000002,93157,0.0001,0.29157036542892456
536.84,1055,828,0.05,374368,354,101.00461794,93566,0.0001,0.2930145561695099
542.87,1060,832,0.05,376315,354,105.33488287999998,94053,0.0001,0.2962993383407593
529.49,1064,836,0.05,377765,354,107.91414806,94416,0.0001,1.922689437866211
534.46,1069,840,0.05,379742,355,111.95587808999998,94910,0.0001,0.3144215941429138
532.31,1073,844,0.05,381390,355,110.21829544,95322,0.0001,0.3206007778644562
527.36,1077,848,0.05,383148,355,106.97925787,95761,0.0001,0.2506416141986847
521.44,1084,852,0.05,385352,355,111.35689255999998,96312,0.0001,0.43558451533317566
516.66,1089,856,0.05,387469,355,108.62816507,96842,0.0001,0.21653002500534058
512.28,1096,860,0.05,389897,355,110.20358114999999,97449,0.0001,0.7340750098228455
517.45,1101,864,0.05,392069,355,110.18446644,97992,0.0001,0.11991652101278305
512.29,1107,868,0.05,393841,355,113.72822373000001,98435,0.0001,1.6337846517562866
521.97,1114,872,0.05,396576,355,111.74041711000001,99118,0.0001,0.8664900064468384
517.4,1119,876,0.05,398277,355,115.87497131,99544,0.0001,0.20906519889831543
515.18,1124,880,0.05,400293,356,114.45197699,100048,0.0001,0.3188428580760956
511.44,1129,884,0.05,402451,356,111.81672603999999,100587,0.0001,0.13257023692131042
505.82,1134,888,0.05,403995,356,109.71425337000001,100973,0.0001,0.2841989994049072
497.3,1138,892,0.05,405685,356,111.56347518000003,101396,0.0001,0.37332314252853394
492.95,1144,896,0.05,407853,356,112.94370328,101938,0.0001,1.0767080783843994
487.29,1148,900,0.05,409581,356,117.82286225,102370,0.0001,0.8384673595428467
489.49,1154,904,0.05,411611,356,119.57288340000002,102877,0.0001,3.271652936935425
488.9,1160,908,0.05,413946,356,128.40726868000002,103461,0.0001,3.4786064624786377
499.1,1168,912,0.05,416832,356,131.54065913,104182,0.0001,0.3937451243400574
496.31,1172,916,0.05,418544,356,129.97904350000002,104610,0.0001,4.028465270996094
503.3,1179,920,0.05,421205,357,133.82041091000002,105276,0.0001,0.3480254113674164
499.87,1183,924,0.05,422716,357,134.18464938,105653,0.0001,0.32083961367607117
497.02,1186,928,0.05,424070,357,137.61702886,105992,0.0001,1.7900035381317139
494.14,1190,932,0.05,425729,357,133.96407628999998,106407,0.0001,0.23593959212303162
500.04,1195,936,0.05,427769,357,130.33180054000002,106917,0.0001,0.6727825999259949
498.27,1200,940,0.05,429569,357,132.02408806,107367,0.0001,0.4057711958885193
499.12,1204,944,0.05,431302,358,130.7288822,107800,0.0001,0.2165091633796692
504.62,1210,948,0.05,433610,358,137.69939276000002,108377,0.0001,0.6159530878067017
501.39,1215,952,0.05,435491,358,138.34648723,108847,0.0001,0.9123549461364746
501.05,1220,956,0.05,437574,358,144.81969576,109368,0.0001,0.2303297370672226
495.81,1226,960,0.05,439478,358,143.27731230999999,109844,0.0001,0.2684488892555237
497.95,1232,964,0.05,441864,358,143.56546308,110440,0.0001,0.878488302230835
503.51,1239,968,0.05,444192,358,147.19843013,111022,0.0001,2.792708396911621
502.38,1246,972,0.05,446814,358,148.95258005,111678,0.0001,0.13980019092559814
507.68,1252,976,0.05,449045,358,150.07412214000001,112236,0.0001,2.205186128616333
508.18,1257,980,0.05,451111,358,154.63467215000003,112752,0.0001,0.6621017456054688
505.39,1262,984,0.05,452990,358,157.84077489,113222,0.0001,0.4194239675998688
508.33,1266,988,0.05,454828,359,163.37299735000002,113681,0.0001,0.33238857984542847
504.93,1269,992,0.05,456178,359,163.13877632999998,114019,0.0001,0.170934796333313
502.46,1275,996,0.05,458099,359,164.16509783,114499,0.0001,0.24635490775108337
503.39,1279,1000,0.05,459920,359,166.18295313000002,114954,0.0001,0.5542877912521362
501.68,1284,1004,0.05,461779,359,163.65620689000002,115419,0.0001,0.8041805028915405
493.88,1288,1008,0.05,463334,359,156.6114995,115808,0.0001,0.9480223655700684
483.01,1293,1012,0.05,465133,359,152.64807682,116258,0.0001,0.8172565698623657
486.24,1298,1016,0.05,467168,359,149.17477975,116766,0.0001,0.24499331414699554
478.72,1303,1020,0.05,469077,359,150.62741626000002,117244,0.0001,0.3883408010005951
486.53,1310,1024,0.05,471369,359,152.03865432,117817,0.0001,0.2816416919231415
494.5,1315,1028,0.05,473520,359,152.83904735,118354,0.0001,0.5746963620185852
