time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/entropy_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/clip_range,rollout/ep_len_mean,train/loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/n_updates
405504,55,99,7347,-0.5247128645889461,0.028808944,0.1589111328125,0.9544620774686337,0.2,990.84,2.5786266326904297,-0.004882751847617328,12.788797640800476,0.0002,678.6302799299999,980
409600,55,100,7422,-0.49565713284537194,0.05181285,0.2103759765625,0.9386155903339386,0.2,988.83,3.306938886642456,0.0035112964702420867,12.2495798304677,0.0002,690.8508167499999,990
413696,55,101,7494,-0.5547853893600404,0.024512714,0.18349609375,0.9559658467769623,0.2,988.45,2.683485746383667,-0.0018909243866801263,10.025519583374262,0.0002,695.0085798799998,1000
417792,55,102,7569,-0.45185941020026804,0.019551931,0.1427490234375,0.9221013188362122,0.2,988.23,4.098490238189697,0.0026232524804072456,13.352437649667262,0.0002,711.9251303,1010
421888,55,103,7648,-0.4306562473066151,0.017190997,0.140673828125,0.9231048002839088,0.2,988.23,3.801649332046509,0.0058049245009897275,14.476710337400437,0.0002,711.8230417899999,1020
425984,55,104,7719,-0.5284009661525488,0.021752514,0.1630615234375,0.9213680252432823,0.2,988.23,3.1131906509399414,-0.004736788710579276,18.910674121975898,0.0002,719.8448752500001,1030
430080,55,105,7792,-0.4836574448272586,0.019104589,0.1211669921875,0.9407246150076389,0.2,985.28,4.17259407043457,0.0023986126921954564,20.162541353702544,0.0002,727.5375752,1040
434176,55,106,7862,-0.4925901713781059,0.030022204,0.1305419921875,0.9574391506612301,0.2,985.28,2.9314334392547607,0.002448374856612645,18.60982612967491,0.0002,737.6312911799998,1050
438272,55,107,7935,-0.5270881863310933,0.02965442,0.1502197265625,0.9584778770804405,0.2,982.65,5.782966613769531,-0.005118830144056119,12.250338040292263,0.0002,751.3649569499999,1060
442368,55,108,8009,-0.4338505597785115,0.0145067405,0.103857421875,0.95450334623456,0.2,982.65,3.480250120162964,0.0017520308945677243,21.154978832602502,0.0002,768.67271773,1070
446464,55,109,8081,-0.4589860435575247,0.02253307,0.1346923828125,0.9664017669856548,0.2,982.65,4.132602214813232,-0.0013479529457981697,16.522230193018913,0.0002,785.2128489900002,1080
450560,55,110,8153,-0.4553474445827305,0.024510304,0.1402587890625,0.9729888793081045,0.2,979.8,4.345884323120117,-0.00021630761330015957,12.98593076094985,0.0002,797.9782231600001,1090
454656,55,111,8222,-0.3835518881678581,0.023637757,0.1306640625,0.9369974136352539,0.2,979.8,8.249251365661621,-0.0016525673112482765,21.230496829748155,0.0002,793.85508675,1100
