time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/approx_kl,train/entropy_loss,rollout/ep_len_mean,train/loss,train/clip_range,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/n_updates,train/clip_fraction,train/explained_variance
13098,619520,1210,47,0.122772895,-3.0405047237873077,988.04,1.3027852773666382,0.2,0.03104200349189341,0.6815964579582214,513.60594416,0.0002,15.383813792467118,12090,0.427734375,0.9751579407602549
13107,620032,1211,47,0.28087407,-3.043851387500763,988.04,8.315773963928223,0.2,0.09613252272829413,0.6821936964988708,514.03890599,0.0002,89.12341628074645,12100,0.6146484375,0.6798606514930725
13115,620544,1212,47,0.18953957,-3.0471953570842745,988.04,18.793367385864258,0.2,0.05843082817737013,0.6827840805053711,514.03890599,0.0002,52.22629508972168,12110,0.587109375,0.8618475645780563
13123,621056,1213,47,0.22592664,-3.049759918451309,988.04,9.317931175231934,0.2,0.048647426255047324,0.6830686330795288,514.1748549600001,0.0002,64.26017079353332,12120,0.620703125,0.7287651896476746
13132,621568,1214,47,0.2145272,-3.052091658115387,988.04,3.8008856773376465,0.2,0.04891854908782989,0.6838485598564148,514.1748549600001,0.0002,21.457003033161165,12130,0.548046875,0.7870931774377823
13140,622080,1215,47,0.13005917,-3.0542623937129973,988.04,2.4924235343933105,0.2,0.04513072445988655,0.6839938163757324,520.2873238999999,0.0002,17.48646057844162,12140,0.5138671875,0.746271938085556
13148,622592,1216,47,0.12438796,-3.0527503073215483,988.04,2.9768333435058594,0.2,0.03234389377757907,0.6833642721176147,520.2873238999999,0.0002,10.678664076328278,12150,0.4796875,0.8873220756649971
13156,623104,1217,47,0.14197144,-3.05152890086174,981.22,1.418434739112854,0.2,0.04731759880669415,0.68389892578125,521.7243053599999,0.0002,15.299067401885987,12160,0.4998046875,0.8706031441688538
13165,623616,1218,47,1.0191176,-3.054988127946854,981.22,7.4320244789123535,0.2,0.029271991667337717,0.6843254566192627,521.7243053599999,0.0002,69.67002334594727,12170,0.645703125,0.8153893202543259
13173,624128,1219,47,0.058568865,-3.0553750514984133,981.22,1.1635167598724365,0.2,0.01140522533096373,0.6835174560546875,521.9240405600001,0.0002,8.82452397942543,12180,0.393359375,0.9445363767445087
13181,624640,1220,47,0.09819235,-3.053498548269272,981.22,3.146906852722168,0.2,0.07710337042808532,0.6838585734367371,521.9240405600001,0.0002,33.96095508337021,12190,0.603515625,0.8776265904307365
