rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/clip_fraction,train/n_updates,train/entropy_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/value_loss
500.0,198656,218,97,500.0,907,0.0003,0.07177734375,960,-0.26637108507566154,-0.020871493965387344,0.2,-0.003272607841063291,-20.704330444335938,0.006513482,1.229763284982255e-07
500.0,200704,219,98,500.0,915,0.0003,0.016162109375,970,-0.2644128201529384,0.0004963139654137194,0.2,0.0006210671068402007,-21.60327911376953,0.0017342751,1.588231873483892e-06
500.0,202752,219,99,500.0,923,0.0003,0.017822265625,980,-0.23116180212236942,-0.004270663484930992,0.2,-0.001154600475274492,-18.092866897583008,0.0011792802,2.471206192922182e-06
500.0,204800,219,100,500.0,931,0.0003,0.040625,990,-0.24834868726320564,-0.009420275688171387,0.2,-0.0012275822082301602,-16.001264572143555,0.0017019829,3.0943060664867516e-07
500.0,206848,220,101,500.0,938,0.0003,0.02021484375,1000,-0.25715241567231717,0.0012974207056686282,0.2,0.00045814320328645407,-22.616363525390625,0.001961914,8.49079731153779e-05
500.0,208896,221,102,500.0,944,0.0003,0.04677734375,1010,-0.2612759621348232,-0.02280730940401554,0.2,-0.001811660861130804,-10.468881607055664,0.0038858138,1.5521216312208708e-07
500.0,210944,221,103,500.0,950,0.0003,0.01279296875,1020,-0.23423202359117568,0.0035055894404649734,0.2,0.00022020930045982823,-9.822704315185547,0.0014999369,1.0766210607471294e-07
500.0,212992,222,104,500.0,957,0.0003,0.023974609375,1030,-0.24263011906296014,-0.0003057311405427754,0.2,-0.000516401807544753,-8.040167808532715,0.0024608457,1.1738722207610409e-07
500.0,215040,223,105,500.0,963,0.0003,0.038037109375,1040,-0.24632989186793566,-0.0011159435380250216,0.2,-0.000556916676578112,-9.039521217346191,0.0015089228,2.0556016693262792e-07
500.0,217088,223,106,500.0,969,0.0003,0.028271484375,1050,-0.2687290576286614,0.023729467764496803,0.2,-0.0005724253976950421,-12.169515609741211,0.0022227527,1.8288834894519824e-06
500.0,219136,224,107,500.0,975,0.0003,0.022705078125,1060,-0.24400724163278936,-0.009929008781909943,0.2,-0.0012588656245497987,-9.012397766113281,0.0016535216,1.2573343241228941e-06
500.0,221184,225,108,500.0,981,0.0003,0.0826171875,1070,-0.2560509675182402,0.001974426908418536,0.2,-0.003842523175990209,-14.217046737670898,0.0056379884,1.6022016797023753e-05
500.0,223232,225,109,500.0,987,0.0003,0.029150390625,1080,-0.24400596488267184,0.011765265837311745,0.2,-0.0008076174854068086,-6.692442417144775,0.0028141628,2.189791092632731e-06
500.0,225280,226,110,500.0,993,0.0003,0.02431640625,1090,-0.22949043866246938,-0.001954879378899932,0.2,-0.000981054712610785,-1.3086941242218018,0.0038051156,8.026158923257753e-06
500.0,227328,227,111,500.0,999,0.0003,0.018359375,1100,-0.2611394478939474,0.004182353615760803,0.2,0.00013998790818732233,-1.5853667259216309,0.0021735518,1.7300790628382855e-05
500.0,229376,227,112,500.0,1006,0.0003,0.03486328125,1110,-0.2575022164732218,0.0031415573321282864,0.2,-0.002096536244789604,-1.395522117614746,0.0040481808,5.924960419179115e-07
500.0,231424,228,113,500.0,1013,0.0003,0.043212890625,1120,-0.24403970446437598,0.005974878091365099,0.2,-0.0019624819076852875,-1.6739892959594727,0.00383141,4.0754011934041043e-07
500.0,233472,228,114,500.0,1019,0.0003,0.0130859375,1130,-0.2394089237321168,0.0010984530672430992,0.2,-0.000632011228299234,-2.648861885070801,0.0014315348,7.015851423375352e-07
500.0,235520,229,115,500.0,1025,0.0003,0.015966796875,1140,-0.22662804420106114,-0.0035230095963925123,0.2,-0.000911972695030272,-5.19194221496582,0.0019056622,5.136191904853149e-06
500.0,237568,230,116,500.0,1032,0.0003,0.01484375,1150,-0.2451308465562761,0.004656735807657242,0.2,0.0007487411290640012,-4.786503314971924,0.00041401834,5.3065080834358016e-06
500.0,239616,230,117,500.0,1038,0.0003,0.018212890625,1160,-0.234330117655918,-0.0002890248433686793,0.2,-0.0005026031169109047,-5.995809078216553,0.00160679,1.5676211205573053e-06
500.0,241664,231,118,500.0,1044,0.0003,0.018212890625,1170,-0.20918215601705015,0.008814264088869095,0.2,-0.0015921192840323783,-5.0300726890563965,0.0021966519,9.506185686802837e-05
500.0,243712,232,119,500.0,1050,0.0003,0.01181640625,1180,-0.22894875002093612,0.00024655048036947846,0.2,0.0006337014929158613,-0.4064364433288574,0.002489704,6.714603298973998e-06
500.0,245760,232,120,500.0,1056,0.0003,0.020556640625,1190,-0.21455360110849142,0.0024758251383900642,0.2,-0.000512119202176109,-0.27417635917663574,0.0009525056,8.747513561502273e-07
500.0,247808,233,121,500.0,1062,0.0003,0.0306640625,1200,-0.23195603666827083,-0.00490184873342514,0.2,-0.0009896121657220647,-0.3857523202896118,0.0016225826,3.032436495686852e-07
500.0,249856,233,122,500.0,1068,0.0003,0.0169921875,1210,-0.22641341146081687,0.024182463064789772,0.2,-0.0003113230341114104,-0.614326000213623,0.0016826915,2.540425157349091e-07
500.0,251904,234,123,500.0,1074,0.0003,0.03583984375,1220,-0.21477779243141412,-0.019484015181660652,0.2,-0.0015707621641922742,-0.938701868057251,0.0031194077,3.487685233949378e-07
500.0,253952,235,124,500.0,1080,0.0003,0.034912109375,1230,-0.22841778080910444,-0.01621798798441887,0.2,-0.0018978720792802051,-0.9721421003341675,0.0040072845,1.6998243665966583e-07
500.0,256000,235,125,500.0,1086,0.0003,0.02021484375,1240,-0.23453231547027825,0.01508188247680664,0.2,-0.0005110354613862,-1.4819750785827637,0.0020614043,2.0491221448537543e-07
500.0,258048,236,126,500.0,1093,0.0003,0.033642578125,1250,-0.23812296534888447,-0.009779364801943302,0.2,-0.000623646448366344,-1.8591690063476562,0.0025596,1.2189640784754375e-06
500.0,260096,236,127,500.0,1099,0.0003,0.02734375,1260,-0.24779116762802006,0.009851457551121712,0.2,-0.00016100755019579082,-3.2219042778015137,0.001959538,9.645798022859254e-05
500.0,262144,237,128,500.0,1105,0.0003,0.017578125,1270,-0.23409550925716757,0.00035144982393831015,0.2,0.00028615486226044593,-4.771541595458984,0.0023806652,1.0403514636436739e-07
500.0,264192,237,129,500.0,1111,0.0003,0.0181640625,1280,-0.23063807105645537,0.0005927010788582265,0.2,-0.0007506093446863815,-5.948563098907471,0.0018530618,1.0080788968025444e-07
500.0,266240,237,130,500.0,1118,0.0003,0.041162109375,1290,-0.24490624680183828,-0.004051844589412212,0.2,0.0008859521039994434,-7.429147720336914,0.0037491927,9.529072428904328e-08
500.0,268288,238,131,500.0,1125,0.0003,0.0275390625,1300,-0.25037683863192794,-0.012363419868052006,0.2,-0.0007181461347499863,-6.227227210998535,0.002427472,1.522814869758804e-07
500.0,270336,238,132,500.0,1131,0.0003,0.036572265625,1310,-0.25710016922093926,0.004765872843563557,0.2,-0.0010013802093453705,-8.969722747802734,0.00202367,1.3794988831250521e-07
500.0,272384,239,133,500.0,1137,0.0003,0.04638671875,1320,-0.24770046276971697,-0.022784868255257607,0.2,-0.0012872339342720807,-11.251424789428711,0.0026667158,1.068450131924692e-07
500.0,274432,239,134,500.0,1143,0.0003,0.045166015625,1330,-0.2535925513133407,-0.00680785346776247,0.2,0.0003307725375634618,-8.454965591430664,0.0031463103,6.08592114303974e-07
500.0,276480,240,135,500.0,1149,0.0003,0.037548828125,1340,-0.25820706309750674,-0.006166017148643732,0.2,-0.0003478379498119466,-16.500516891479492,0.0019198474,3.191059554694675e-05
500.0,278528,240,136,500.0,1156,0.0003,0.028662109375,1350,-0.2484416647348553,0.0015731757739558816,0.2,-0.00115532610216178,-10.990692138671875,0.003450367,2.1368689431255917e-07
500.0,280576,241,137,500.0,1163,0.0003,0.0208984375,1360,-0.2258813071064651,-0.007599742617458105,0.2,-0.0006885766997584142,-12.937783241271973,0.0011829308,1.1601146923112538e-07
