time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_fraction
348,137216,67,393,500.0,500.0,-0.0024211706971982495,-0.009377322159707546,0.2,-0.9311870336532593,660,0.0003,-0.24583996618166565,2.398761275799188e-05,0.0019870806,0.051220703125
349,139264,68,398,500.0,500.0,9.937155118677765e-06,-0.0003826672618743032,0.2,-3.6274633407592773,670,0.0003,-0.23966227686032654,2.4683675405867687e-07,0.0016064395,0.010595703125
350,141312,69,403,500.0,500.0,-0.00037348112964536996,-0.007617622148245573,0.2,-2.0722601413726807,680,0.0003,-0.2423731944989413,2.797520778585749e-07,0.002136725,0.013232421875
351,143360,70,407,500.0,500.0,-0.002628777761128731,-0.014621944166719913,0.2,-1.192643404006958,690,0.0003,-0.2597486841958016,3.5541630722946137e-07,0.0061182883,0.07177734375
352,145408,71,412,500.0,500.0,0.0001577669259859249,0.0062956600449979305,0.2,-5.513537883758545,700,0.0003,-0.26238123131915925,2.813273482615841e-07,0.0019317442,0.026513671875
353,147456,72,417,500.0,500.0,-0.0022984026218182407,0.014994177967309952,0.2,-3.9577598571777344,710,0.0003,-0.24279378023929893,8.697789667166944e-07,0.003143613,0.03740234375
354,149504,73,421,500.0,500.0,-0.002272624098986853,-0.009710200130939484,0.2,-1.9457597732543945,720,0.0003,-0.2663535963278264,5.904547094814916e-07,0.005098459,0.07578125
355,151552,74,426,500.0,500.0,-7.239848637254908e-05,-0.0022294947411864996,0.2,-1.3517279624938965,730,0.0003,-0.2450988048221916,3.829794707144174e-06,0.0017276297,0.02119140625
356,153600,75,431,500.0,500.0,-0.0007363950018770993,-0.0016674923244863749,0.2,-1.7413058280944824,740,0.0003,-0.2582238455303013,6.927094574393778e-07,0.0009834124,0.031787109375
357,155648,76,435,500.0,500.0,-0.0014856344554573298,-0.0006734022754244506,0.2,-1.3028829097747803,750,0.0003,-0.26177820661105217,9.327864557917564e-06,0.0015786602,0.018896484375
358,157696,77,440,500.0,500.0,1.5213064034469426e-05,-0.00025825665215961635,0.2,-2.4842638969421387,760,0.0003,-0.2513086860068142,4.4864949870770944e-07,0.0016761451,0.014697265625
359,159744,78,444,500.0,500.0,-0.0017490282305516302,-0.013534019701182842,0.2,-1.7820966243743896,770,0.0003,-0.2681208991445601,3.458872117789724e-06,0.005550214,0.063720703125
360,161792,79,448,500.0,500.0,-0.0008581657544709742,0.0011229636147618294,0.2,-3.7479400634765625,780,0.0003,-0.2634184467140585,2.464150753667127e-07,0.0022428678,0.025439453125
361,163840,80,452,500.0,500.0,-0.0012731401715427638,-0.008714903146028519,0.2,-1.1553559303283691,790,0.0003,-0.24776687142439185,1.1917102597180929e-05,0.001938181,0.018212890625
362,165888,81,457,500.0,500.0,0.00016651985934004187,0.001625255448743701,0.2,-0.6234745979309082,800,0.0003,-0.2635864342097193,2.661361332911838e-06,0.002873373,0.012890625
364,167936,82,461,500.0,500.0,0.0007701359761995263,-0.0024495820980519056,0.2,-0.7338435649871826,810,0.0003,-0.2655201614834368,4.7159098244264895e-07,0.0016830468,0.0244140625
365,169984,83,465,500.0,500.0,-0.0016829283311381004,0.0019321225117892027,0.2,-0.6564277410507202,820,0.0003,-0.24497696151956916,7.123606906134228e-07,0.0029379297,0.03740234375
366,172032,84,469,500.0,500.0,0.00034379534190520644,-0.004661083221435547,0.2,-1.0802361965179443,830,0.0003,-0.2534570038318634,2.1980357388429183e-06,0.0014754955,0.00458984375
367,174080,85,473,500.0,500.0,-0.00277160253317561,-0.0033388512674719095,0.2,-1.0988693237304688,840,0.0003,-0.2508386992383748,8.386459484199805e-07,0.0039072004,0.046630859375
368,176128,86,477,500.0,500.0,-0.0006275358406128362,0.003035046625882387,0.2,-1.2483978271484375,850,0.0003,-0.2414707318879664,2.491154864969758e-06,0.0018067434,0.0107421875
369,178176,87,481,500.0,500.0,-0.00015447257610503584,-0.009514156728982925,0.2,-0.8453680276870728,860,0.0003,-0.2646935842465609,4.990946894736226e-05,0.005039516,0.03408203125
371,180224,88,485,500.0,500.0,-0.004712337945238687,0.0009509183000773191,0.2,-1.837656021118164,870,0.0003,-0.2679926533717662,2.0609058424270187e-07,0.0058814352,0.07490234375
372,182272,89,489,500.0,500.0,-0.0003864369209622964,0.011166243813931942,0.2,-2.379735231399536,880,0.0003,-0.2830186352599412,1.5808353168722533e-07,0.003537291,0.023876953125
374,184320,90,492,500.0,500.0,-0.0005992437043460086,0.009383127093315125,0.2,-1.2377252578735352,890,0.0003,-0.26308982316404583,2.56299307466179e-07,0.00193806,0.02412109375
375,186368,91,496,500.0,500.0,0.0002519742090953514,0.0030642731580883265,0.2,-1.6843130588531494,900,0.0003,-0.2694336317013949,1.560130897360068e-07,0.0005697534,0.007177734375
377,188416,92,499,500.0,500.0,-0.0007880997989559546,-0.007918983697891235,0.2,-1.4711833000183105,910,0.0003,-0.251771317794919,1.772696435864418e-07,0.0013231914,0.02197265625
