time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/std,train/entropy_loss,train/clip_fraction,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/clip_range
280,225.43081655999998,2129,292,598016,1045.86,2910,0.2690727114677429,-0.005061187194951344,0.358106791973114,-1.5506859470158816,0.230322265625,1.3676414489746094,0.0003,4.594724706374109,0.016729724,0.2
280,225.34191460000002,2137,293,600064,1047.27,2920,0.6079599857330322,-0.010913949119276367,0.35757189989089966,-1.5423842925578355,0.219140625,0.31537866592407227,0.0003,3.1348919392563404,0.018351076,0.2
280,227.9016781,2145,294,602112,1051.14,2930,0.196485698223114,-0.007557822355011012,0.3566654920578003,-1.5347818870097398,0.2845703125,1.7384438514709473,0.0003,4.241680561006069,0.02646695,0.2
280,231.1632512,2153,295,604160,1056.0,2940,0.28938716650009155,-0.00814771867590025,0.35704436898231506,-1.532864147052169,0.22734375,6.472451210021973,0.0003,4.473662324529141,0.01990674,0.2
280,231.33384311,2161,296,606208,1053.2,2950,0.1428244709968567,-0.009770781482802703,0.3576924800872803,-1.531710610538721,0.2771484375,4.797748565673828,0.0003,5.301410471089184,0.025596954,0.2
280,232.791773,2169,297,608256,1053.76,2960,0.2670402526855469,-0.006941261055180803,0.3561757802963257,-1.5311238877475262,0.273876953125,1.3036442995071411,0.0003,4.958379787951708,0.026231062,0.2
280,234.65117586000005,2175,298,610304,1054.92,2970,0.3467944860458374,-0.009625598511775024,0.3555071949958801,-1.519100685417652,0.27978515625,0.41059163212776184,0.0003,2.5249424058478325,0.023659147,0.2
280,233.02717702,2181,299,612352,1051.36,2980,0.5203900039196014,-0.010968563993810677,0.35396236181259155,-1.5020974047482014,0.245947265625,1.488330602645874,0.0003,5.259753056615591,0.017506339,0.2
280,238.22241927,2187,300,614400,1060.58,2990,0.924438513815403,-0.007808777017635294,0.3527686595916748,-1.4856902714818716,0.17373046875,5.603367328643799,0.0003,8.68948632478714,0.015252534,0.2
281,241.30425845,2193,301,616448,1066.03,3000,0.2236042618751526,-0.013116585480747744,0.3513020873069763,-1.4709980547428132,0.2654296875,3.5227861404418945,0.0003,4.948300982266664,0.019041715,0.2
281,239.96214356999994,2201,302,618496,1062.56,3010,0.44407469034194946,-0.008958287921268493,0.3505118489265442,-1.4610839568078517,0.259619140625,1.9598846435546875,0.0003,6.368367979116738,0.025993533,0.2
280,240.05637811999995,2208,303,620544,1061.29,3020,0.9200498387217522,-0.007110518295667135,0.3503049612045288,-1.453597903624177,0.254833984375,10.629775047302246,0.0003,16.48285058774054,0.020695493,0.2
280,240.08071267999995,2216,304,622592,1060.96,3030,0.6735757291316986,-0.008394118695287034,0.3509092926979065,-1.458162071555853,0.217431640625,2.9826319217681885,0.0003,7.888365943171084,0.019253297,0.2
280,237.02532956,2224,305,624640,1050.77,3040,0.21766811609268188,-0.00843471642001532,0.3447645902633667,-1.418910439684987,0.27119140625,0.6122996211051941,0.0003,3.398111221380532,0.025749577,0.2
280,235.38270112000006,2231,306,626688,1041.57,3050,0.9426401667296886,-0.0052278150338679556,0.3447514772415161,-1.3870436631143093,0.18310546875,3.668247938156128,0.0003,15.106564217060804,0.01481651,0.2
280,239.63019156000001,2239,307,628736,1049.44,3060,0.9246374741196632,-0.017479135599569418,0.34841030836105347,-1.4035672795027494,0.202294921875,3.177548885345459,0.0003,6.897373296320438,0.01737146,0.2
280,239.67142732,2247,308,630784,1048.97,3070,0.5011208653450012,-0.008285356446867809,0.34678149223327637,-1.418560527637601,0.282958984375,4.392794132232666,0.0003,5.876983729284257,0.01985758,0.2
280,242.23478908,2255,309,632832,1050.92,3080,0.30364274978637695,-0.00933059393428266,0.346000611782074,-1.4009091537445784,0.32109375,4.978936195373535,0.0003,2.9048775407020004,0.025220219,0.2
280,242.28352344000004,2262,310,634880,1050.39,3090,0.37581831216812134,-0.011247574925073422,0.34605127573013306,-1.3957737326622008,0.271728515625,0.3389892578125,0.0003,5.567048729024828,0.025386762,0.2
280,242.34039334000002,2269,311,636928,1049.27,3100,0.5560812950134277,-0.007198717498977203,0.3452983796596527,-1.3873277939856052,0.2712890625,1.5921398401260376,0.0003,8.067346544191242,0.019429116,0.2
280,242.39036583,2274,312,638976,1048.56,3110,0.9538307934999466,-0.008649267765576951,0.3453311026096344,-1.3848002675920725,0.1837890625,1.482116937637329,0.0003,12.228408198431135,0.017173883,0.2
281,243.35029937,2280,313,641024,1051.31,3120,0.07541722059249878,-0.009130757031380199,0.3437325060367584,-1.3780745211988688,0.301904296875,1.8205469846725464,0.0003,5.697587697859854,0.026854765,0.2
281,245.16118357,2286,314,643072,1051.76,3130,0.9624904841184616,-0.008258678420679644,0.3442420959472656,-1.3765402480959892,0.269091796875,2.0195257663726807,0.0003,8.039070683345198,0.025902748,0.2
281,245.19204111000002,2294,315,645120,1051.6,3140,0.8010891824960709,-0.008550877470406703,0.34300172328948975,-1.369671231880784,0.2833984375,10.658954620361328,0.0003,12.998732541501521,0.025167346,0.2
281,245.30448494000004,2302,316,647168,1050.16,3150,0.15927231311798096,-0.004104008377180435,0.3456561863422394,-1.3799182653427124,0.309375,0.2734934687614441,0.0003,5.146124249510467,0.025418062,0.2
280,245.52347027,2310,317,649216,1046.73,3160,0.024956464767456055,-0.010191394508001394,0.3443842828273773,-1.3820373188704251,0.2869140625,1.662500262260437,0.0003,5.66658664541319,0.02801847,0.2
280,249.44822655999997,2318,318,651264,1056.15,3170,0.2718425989151001,-0.007311363785993308,0.342549204826355,-1.3611054047942162,0.304833984375,0.5172793865203857,0.0003,4.982926608435809,0.026746888,0.2
280,249.56702127999998,2326,319,653312,1054.36,3180,0.3985593914985657,-0.008839957817690447,0.3382519483566284,-1.3298710681498052,0.270361328125,3.370645523071289,0.0003,2.925160080101341,0.02198463,0.2
280,249.69674321000002,2333,320,655360,1052.59,3190,0.2106810212135315,-0.009232774371048436,0.3412376046180725,-1.3242326498031616,0.271435546875,0.5566670298576355,0.0003,5.475374403316527,0.024539277,0.2
