rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/loss,time/total_timesteps,rollout/exploration_rate,train/learning_rate,time/episodes,train/n_updates,time/fps
-73.6802815,7800,992.35,0.03816672042012215,374954,0.02,0.001,376,93713,48
-72.86026692,7881,992.35,0.003255050163716078,378954,0.02,0.001,380,94713,48
-69.4437413,7961,992.35,0.049460284411907196,382954,0.02,0.001,384,95713,48
-68.9174278,8042,992.35,0.0004505846882238984,386954,0.02,0.001,388,96713,48
-66.07591054,8126,992.35,0.03063003346323967,390954,0.02,0.001,392,97713,48
-64.74307475,8205,992.35,0.04206405580043793,394954,0.02,0.001,396,98713,48
-62.45076038000002,8284,992.35,0.05233560875058174,398954,0.02,0.001,400,99713,48
-60.95677434000001,8361,992.35,0.011384537443518639,402954,0.02,0.001,404,100713,48
-57.80701488999999,8438,1000.0,0.0016890163533389568,406954,0.02,0.001,408,101713,48
-57.603698860000016,8521,1000.0,0.002095518633723259,410954,0.02,0.001,412,102713,48
-56.020538380000005,8598,1000.0,0.003805127926170826,414954,0.02,0.001,416,103713,48
-55.46336196,8675,1000.0,0.004406193271279335,418954,0.02,0.001,420,104713,48
-55.790561749999995,8754,1000.0,0.00045527194743044674,422954,0.02,0.001,424,105713,48
-54.6152044,8833,1000.0,0.006164615973830223,426954,0.02,0.001,428,106713,48
-53.53337982,8912,998.47,0.05878417193889618,430801,0.02,0.001,432,107675,48
-53.43551110000001,8991,998.47,0.04066799208521843,434801,0.02,0.001,436,108675,48
-55.072969379999996,9060,993.15,0.0030209622345864773,438269,0.02,0.001,440,109542,48
-55.24501132999999,9143,993.15,0.053822603076696396,442269,0.02,0.001,444,110542,48
-54.56676077,9221,993.15,0.0016267362516373396,446269,0.02,0.001,448,111542,48
-53.822049370000016,9304,993.15,0.05740289390087128,450269,0.02,0.001,452,112542,48
-50.9526834,9381,993.15,0.008986464701592922,454269,0.02,0.001,456,113542,48
-49.152866550000006,9454,993.15,0.0026279317680746317,458269,0.02,0.001,460,114542,48
-48.30581134,9528,993.15,0.006902665831148624,462269,0.02,0.001,464,115542,48
-48.02055184999999,9602,993.15,0.05218137055635452,466269,0.02,0.001,468,116542,48
-48.20444112999999,9677,993.15,0.04711092263460159,470269,0.02,0.001,472,117542,48
-47.62311860999999,9752,993.15,0.06231075897812843,474269,0.02,0.001,476,118542,48
-48.068897199999995,9826,993.15,0.006990460213273764,478269,0.02,0.001,480,119542,48
-51.20821615,9899,993.15,0.08690061420202255,482269,0.02,0.001,484,120542,48
-51.43756894999999,9974,993.15,0.043794307857751846,486269,0.02,0.001,488,121542,48
-53.48452286999999,10044,993.15,0.0023221855517476797,490269,0.02,0.001,492,122542,48
-54.858225600000004,10114,993.15,0.0022780909202992916,494269,0.02,0.001,496,123542,48
-56.99789453999999,10183,993.15,0.0031996257603168488,498269,0.02,0.001,500,124542,48
-56.96583283,10252,993.15,0.00048466373118571937,502269,0.02,0.001,504,125542,48
-58.02676304,10318,993.15,0.014062546193599701,506269,0.02,0.001,508,126542,49
-56.752286440000006,10383,993.15,0.12314388155937195,510269,0.02,0.001,512,127542,49
-53.06247668000001,10431,982.2,0.3560968041419983,513174,0.02,0.001,516,128268,49
-49.32130299000001,10496,982.2,0.11350095272064209,517174,0.02,0.001,520,129268,49
-48.42242044000002,10560,982.2,0.013330201618373394,521174,0.02,0.001,524,130268,49
-46.39157539000001,10625,982.2,0.12101273983716965,525174,0.02,0.001,528,131268,49
-45.621622240000015,10679,977.76,0.0046254610642790794,528577,0.02,0.001,532,132119,49
-43.61533103000001,10742,977.76,0.049633026123046875,532577,0.02,0.001,536,133119,49
-43.41488755,10809,983.08,0.017135296016931534,536577,0.02,0.001,540,134119,49
-44.92436345,10864,977.17,0.03082818165421486,539986,0.02,0.001,544,134971,49
-43.074742050000005,10926,975.73,0.1754615306854248,543842,0.02,0.001,548,135935,49
-40.7963249,10984,971.47,0.20498400926589966,547416,0.02,0.001,552,136828,49
-41.88458596,11048,971.47,0.1045784205198288,551416,0.02,0.001,556,137828,49
-41.76388517999999,11112,971.47,0.024457771331071854,555416,0.02,0.001,560,138828,49
-40.47580509,11177,971.47,0.05045350268483162,559416,0.02,0.001,564,139828,50
-41.126703340000006,11241,971.47,0.05491871014237404,563416,0.02,0.001,568,140828,50
-40.90350237,11305,971.47,0.0029058721847832203,567416,0.02,0.001,572,141828,50
-41.041050999999996,11370,971.47,0.17032232880592346,571416,0.02,0.001,576,142828,50
-40.558251129999995,11430,968.77,0.01833278313279152,575146,0.02,0.001,580,143761,50
-39.34920705,11494,968.77,0.003519428428262472,579146,0.02,0.001,584,144761,50
-37.979732569999996,11560,968.77,0.03607115522027016,583146,0.02,0.001,588,145761,50
-36.906133020000006,11624,968.77,0.08472047001123428,587146,0.02,0.001,592,146761,50
-36.69540728,11688,968.77,0.005079249851405621,591146,0.02,0.001,596,147761,50
-37.13105409,11742,962.66,0.007985182106494904,594535,0.02,0.001,600,148608,50
-38.404731590000004,11806,962.66,0.0015888521447777748,598535,0.02,0.001,604,149608,50
