time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl,train/clip_range,train/std,train/value_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/loss
378880,8641,-52.24326436999999,185,43,854.3,0.0004926254841848277,1840,0.0002,0.010635622,0.2,0.6530144810676575,22.68312662690878,0.034375,0.8535428941249847,-2.934211426973343,9.735076904296875
380928,8685,-52.47102376,186,43,851.84,-0.00019549653225112707,1850,0.0002,0.002090656,0.2,0.6520736217498779,42.121208450198175,0.028759765625,0.7900495380163193,-2.9285855665802956,19.367206573486328
382976,8730,-52.862256179999996,187,43,851.84,-0.0024110261801979505,1860,0.0002,0.0053247567,0.2,0.6497336626052856,3.1148572181351484,0.115673828125,0.946813028305769,-2.9224844098091127,0.6774016618728638
385024,8776,-55.17137450999999,188,43,838.29,-0.00013442344788927585,1870,0.0002,0.008252291,0.2,0.6471848487854004,1.7518527063424698,0.19267578125,0.7944765537977219,-2.9071739010512827,0.21666699647903442
387072,8819,-55.26194007999999,189,43,834.58,-0.0019511984326527454,1880,0.0002,0.0038164058,0.2,0.6464124321937561,27.516690465062858,0.031640625,0.8095585852861404,-2.9026724360883236,8.225708961486816
389120,8863,-54.131643090000004,190,43,814.1,-0.0031450806112843567,1890,0.0002,0.003914058,0.2,0.6473232507705688,22.828242587670683,0.0501953125,0.5218653380870819,-2.9023951783776285,10.636675834655762
391168,8905,-55.762937199999996,191,43,806.67,-0.0028878299111966045,1900,0.0002,0.007289641,0.2,0.647508978843689,40.57771311998367,0.03203125,0.8590774983167648,-2.9035493418574334,34.79927062988281
393216,8952,-56.214004900000006,192,43,796.33,-0.004787347996898461,1910,0.0002,0.008682265,0.2,0.6470293402671814,24.34692112803459,0.083203125,0.8947315961122513,-2.9027299083769322,6.635825157165527
395264,8996,-56.0028716,193,43,796.33,-0.0025776237074751408,1920,0.0002,0.0074740434,0.2,0.644656777381897,40.64631580114364,0.046240234375,0.8845119923353195,-2.896649371832609,45.96464157104492
397312,9040,-58.03139131000001,194,43,796.33,-0.0011850292154122143,1930,0.0002,0.009630358,0.2,0.6448136568069458,10.414751839078964,0.091796875,0.849846750497818,-2.892590416967869,1.1342402696609497
399360,9085,-59.23213337999999,195,43,803.58,0.003428182884636044,1940,0.0002,0.0068019154,0.2,0.6450904607772827,4.0484060836490245,0.1783203125,0.5525859296321869,-2.89460224583745,1.5676062107086182
401408,9129,-59.68983128,196,43,807.65,0.000465807385626249,1950,0.0002,0.00964137,0.2,0.6477143168449402,0.948025124828564,0.134716796875,0.7540866881608963,-2.900432600826025,0.16674652695655823
403456,9175,-58.78343879,197,43,808.1,0.0021544986448134296,1960,0.0002,0.005497706,0.2,0.646346926689148,2.360059665516019,0.1234375,0.7858400344848633,-2.904996794462204,0.057558365166187286
405504,9222,-58.760414149999995,198,43,811.79,-0.000957146797736641,1970,0.0002,0.008669852,0.2,0.6452571153640747,1.5868070287629963,0.102001953125,0.7730754166841507,-2.8969576850533487,0.7018963098526001
407552,9265,-56.767616069999995,199,43,820.2,-0.0001081744398106821,1980,0.0002,0.007945917,0.2,0.6454310417175293,0.9745946982700844,0.12216796875,0.9069658517837524,-2.8940251879394054,1.2614245414733887
409600,9311,-55.94476878,200,43,824.49,-4.7817388258408754e-05,1990,0.0002,0.00042852946,0.2,0.6457436084747314,52.30629591047764,0.0,0.6244351267814636,-2.893063249439001,24.42998695373535
411648,9357,-54.37575655999999,201,43,823.56,-0.0014199803248629906,2000,0.0002,0.008848069,0.2,0.644572377204895,11.72385683208704,0.12119140625,0.7017818689346313,-2.8902522452175616,2.13017201423645
413696,9400,-53.286593939999996,202,44,827.29,-0.0024427586497040464,2010,0.0002,0.0067096706,0.2,0.6448854804039001,24.438353244960307,0.04541015625,0.7872709482908249,-2.889444775879383,24.325519561767578
415744,9443,-53.01454699,203,44,821.01,-0.0005419820503448136,2020,0.0002,0.003316366,0.2,0.6443758010864258,39.65276767462492,0.030078125,0.7542098760604858,-2.890476983040571,22.875415802001953
417792,9485,-52.484470859999995,204,44,825.25,-0.00011389957944629714,2030,0.0002,0.0038937652,0.2,0.6432010531425476,10.942701066471637,0.017529296875,0.7938657253980637,-2.885814817249775,7.359364032745361
419840,9527,-53.464742959999995,205,44,810.57,-0.0005843158025527373,2040,0.0002,0.0089651495,0.2,0.6432466506958008,30.150274712592363,0.027392578125,0.3569713234901428,-2.883552045375109,4.236819267272949
421888,9569,-53.07525551,206,44,820.86,-0.004664955582120456,2050,0.0002,0.0069443733,0.2,0.644981861114502,23.23429549485445,0.0791015625,0.8921766877174377,-2.8884214662015437,7.351859092712402
423936,9611,-53.19400141000001,207,44,823.58,-0.00281654815771617,2060,0.0002,0.008135547,0.2,0.6423567533493042,0.8481114607158815,0.132080078125,0.935186006128788,-2.8861255213618278,1.753570795059204
425984,9654,-52.532740679999996,208,44,823.15,-0.0018563395977253094,2070,0.0002,0.0072178934,0.2,0.6423898935317993,8.557267951220274,0.052783203125,0.7555966228246689,-2.8795978158712385,4.594997882843018
428032,9697,-54.22682597,209,44,818.33,-0.003006126168475021,2080,0.0002,0.008197581,0.2,0.6412779688835144,21.812451422214508,0.064599609375,0.8344055712223053,-2.8790669731795786,2.7931268215179443
430080,9738,-52.68862387,210,44,821.55,0.00030343406251631677,2090,0.0002,0.0052564936,0.2,0.6398743391036987,11.099178263172508,0.019287109375,0.9192443192005157,-2.8724706254899504,4.023562908172607
