train/n_updates,train/policy_loss,train/value_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/learning_rate,time/fps,train/explained_variance,train/entropy_loss
17699,-0.6419333815574646,6.424326419830322,88500,27,-20.56668448,17700,331.33,0.0007,3224,-0.29098081588745117,-0.7298881411552429
17799,2.332669973373413,27.95016860961914,89000,27,-21.420398280000004,17800,339.8,0.0007,3224,0.28748905658721924,-0.7741948366165161
17899,-2.477172374725342,4.475790977478027,89500,27,-21.420398280000004,17900,339.8,0.0007,3225,0.8086383044719696,-0.5657892227172852
17999,-3.787067413330078,25.793033599853516,90000,27,-19.585655489999997,18000,348.83,0.0007,3225,-0.8787374496459961,-0.8040980100631714
18099,-0.004151338245719671,0.6035389304161072,90500,28,-19.585655489999997,18100,348.83,0.0007,3225,0.6389611959457397,-0.7084885835647583
18199,-1.0471141338348389,1.7751210927963257,91000,28,-20.9462592,18200,357.31,0.0007,3225,0.26348596811294556,-0.6356627345085144
18299,-2.9579360485076904,7.790905952453613,91500,28,-20.9462592,18300,357.31,0.0007,3225,-0.21576201915740967,-0.8496675491333008
18399,2.4501919746398926,7.015305519104004,92000,28,-22.18581781,18400,364.54,0.0007,3225,-0.166861891746521,-0.9020951986312866
18499,-0.6559462547302246,7.3097825050354,92500,28,-22.18581781,18500,364.54,0.0007,3225,-0.045621633529663086,-0.653929591178894
18599,-0.48811060190200806,3.339418888092041,93000,28,-24.99359922,18600,373.35,0.0007,3225,0.7197327315807343,-0.4507358968257904
18699,2.656595230102539,15.089177131652832,93500,28,-27.7547772,18700,371.4,0.0007,3225,0.07178658246994019,-0.42018646001815796
18799,-0.11933358013629913,0.31706374883651733,94000,29,-30.576146810000004,18800,371.87,0.0007,3225,0.4057786464691162,-1.0364454984664917
18899,0.7458616495132446,1.6272262334823608,94500,29,-30.576146810000004,18900,371.87,0.0007,3225,0.7876146733760834,-1.009385585784912
18999,0.7631088495254517,4.709769248962402,95000,29,-33.71172193,19000,377.75,0.0007,3226,0.731802225112915,-0.40966343879699707
19099,-0.37856417894363403,5.498781204223633,95500,29,-33.71172193,19100,377.75,0.0007,3226,-0.4158405065536499,-0.5692344903945923
19199,-0.1658042073249817,3.0711023807525635,96000,29,-37.39362923000001,19200,384.72,0.0007,3226,0.43168437480926514,-0.40853285789489746
19299,-1.2254939079284668,1.9097678661346436,96500,29,-40.23742640999999,19300,387.09,0.0007,3226,0.6310428977012634,-0.5058591365814209
19399,0.1668727695941925,3.2983837127685547,97000,30,-40.23742640999999,19400,387.09,0.0007,3226,0.4463978409767151,-0.5349832773208618
19499,2.9509968757629395,53.4432373046875,97500,30,-41.68304593,19500,394.13,0.0007,3226,0.4326326847076416,-0.40051737427711487
19599,-1.2401853799819946,4.4444355964660645,98000,30,-42.5662537,19600,395.02,0.0007,3226,0.13473880290985107,-1.077415943145752
19699,-1.7761151790618896,5.72228479385376,98500,30,-42.5662537,19700,395.02,0.0007,3226,0.5199207365512848,-0.8282660245895386
