train/n_updates,train/value_loss,time/time_elapsed,train/std,time/iterations,time/total_timesteps,train/explained_variance,train/entropy_loss,time/fps,train/policy_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
5799,0.03598858416080475,178,0.6981215476989746,5800,46400,-10.390796661376953,-4.232336521148682,260,0.49375778436660767,0.00096,215.23,-99.44155274
5899,0.028120296075940132,180,0.6909264326095581,5900,47200,0.30562251806259155,-4.188268661499023,260,-0.6859215497970581,0.00096,215.23,-99.44155274
5999,2.575493097305298,183,0.6872060298919678,6000,48000,-3.5859107971191406,-4.16483211517334,260,-5.628263473510742,0.00096,230.92,-99.68831967000001
6099,0.06294522434473038,187,0.6936969757080078,6100,48800,0.798182338476181,-4.204944610595703,260,-1.1016764640808105,0.00096,234.98,-99.79784658999999
6199,0.49200838804244995,189,0.6907158493995667,6200,49600,0.8331247270107269,-4.182032108306885,261,3.186460494995117,0.00096,238.46,-99.97601373999998
6299,0.06778164952993393,193,0.686475932598114,6300,50400,0.7961215674877167,-4.154871940612793,261,1.1597213745117188,0.00096,241.59,-99.86542199999998
6399,0.0677432119846344,195,0.6830331087112427,6400,51200,-7.178912162780762,-4.1312575340271,261,-0.9058152437210083,0.00096,241.59,-99.86542199999998
6499,0.04124772176146507,198,0.6822189688682556,6500,52000,0.12140941619873047,-4.12845516204834,261,0.06516124308109283,0.00096,250.1,-98.64660248
6599,0.0059286062605679035,201,0.6797409653663635,6600,52800,0.5707822144031525,-4.108712673187256,261,-0.13732647895812988,0.00096,250.1,-98.64660248
6699,0.05661788210272789,204,0.6784214973449707,6700,53600,-0.2638591527938843,-4.098706245422363,261,0.9911898970603943,0.00096,262.68,-98.89600553
6799,0.6306102275848389,207,0.6819144487380981,6800,54400,0.9235487878322601,-4.119507789611816,262,-2.8629872798919678,0.00096,268.63,-98.80303814000001
6899,0.07934394478797913,210,0.68363356590271,6900,55200,0.34071701765060425,-4.135341644287109,262,-1.0014386177062988,0.00096,241.64,-98.4004587
6999,0.20397895574569702,213,0.6829137802124023,7000,56000,-2.56451416015625,-4.131831169128418,262,-1.1806154251098633,0.00096,248.12,-98.39597278999997
7099,0.2894906997680664,216,0.6794478893280029,7100,56800,-5.001684665679932,-4.106947898864746,262,-1.859135627746582,0.00096,243.78,-98.24381754
7199,0.2114289253950119,218,0.6759383082389832,7200,57600,-3.9917306900024414,-4.083439350128174,263,-0.983285665512085,0.00096,248.44,-98.39327053000001
7299,0.10672396421432495,221,0.6719509363174438,7300,58400,0.4718373417854309,-4.062243461608887,264,-1.0184531211853027,0.00096,256.66,-98.37276226000002
7399,0.3023224174976349,223,0.67054682970047,7400,59200,-0.6688264608383179,-4.052163124084473,265,1.6106820106506348,0.00096,258.52,-98.35817758000003
7499,0.17868059873580933,225,0.6694416999816895,7500,60000,0.6173049807548523,-4.046449661254883,266,-1.582663893699646,0.00096,262.93,-98.53604111000003
