train/learning_rate,time/fps,train/loss,rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,train/n_updates
0.0001,351,1.4376697540283203,48.115298890000005,752,321472,915,0.05,385.65,80342
0.0001,351,3.1771767139434814,46.56663845,756,322311,916,0.05,366.93,80552
0.0001,351,0.11639729142189026,53.458382279999995,760,324062,921,0.05,372.71,80990
0.0001,351,0.7519792318344116,61.25765952,764,325875,926,0.05,379.91,81443
0.0001,351,0.9741413593292236,59.84727930000001,768,327332,930,0.05,370.17,81807
0.0001,351,3.981969118118286,55.285950570000004,772,328288,932,0.05,366.27,82046
0.0001,352,0.44838201999664307,44.5291416,776,329121,934,0.05,355.85,82255
0.0001,352,1.8290016651153564,47.009042640000004,780,330458,937,0.05,360.62,82589
0.0001,352,4.205503940582275,45.76920302000001,784,331510,940,0.05,347.28,82852
0.0001,352,0.3499886393547058,46.69153096999999,788,332879,943,0.05,344.77,83194
0.0001,352,1.1685476303100586,49.00581972999999,792,334842,949,0.05,347.53,83685
0.0001,352,2.5263473987579346,46.70939738000001,796,336253,953,0.05,343.84,84038
0.0001,353,0.8265241980552673,50.6855188,800,337849,956,0.05,351.42,84437
0.0001,353,0.7968518137931824,52.54266955999999,804,339831,962,0.05,352.76,84932
0.0001,353,0.28717029094696045,56.22006427999999,808,341488,966,0.05,355.78,85346
0.0001,353,0.26651936769485474,58.27543769999999,812,342739,969,0.05,356.14,85659
0.0001,353,2.196439027786255,61.15206007999999,816,344623,974,0.05,360.97,86130
0.0001,353,1.7038357257843018,55.45978044,820,346126,979,0.05,361.18,86506
0.0001,353,0.24683868885040283,57.387685579999996,824,348215,984,0.05,372.9,87028
0.0001,353,0.5112435817718506,57.542080340000005,828,350083,989,0.05,369.31,87495
0.0001,353,0.26075950264930725,61.06667216000001,832,351809,993,0.05,365.59,87927
0.0001,353,0.1935519576072693,61.9697136,836,354212,1001,0.05,375.58,88527
0.0001,353,0.3593093752861023,60.569167410000006,840,356437,1008,0.05,380.64,89084
0.0001,353,4.524534702301025,64.42655503999998,844,358513,1014,0.05,393.75,89603
0.0001,353,0.9438432455062866,66.28233573,848,359610,1017,0.05,387.4,89877
0.0001,353,0.1430082619190216,68.48994411000001,852,361426,1021,0.05,399.54,90331
0.0001,353,0.7909667491912842,71.24013821999999,856,363322,1026,0.05,410.11,90805
0.0001,353,0.11810615658760071,72.28612307999998,860,365291,1032,0.05,412.29,91297
0.0001,353,0.17733193933963776,71.63647907,864,367554,1038,0.05,416.79,91863
0.0001,354,0.1136309877038002,71.27399834,868,368627,1040,0.05,412.95,92131
0.0001,353,0.18276530504226685,75.79609327,872,370752,1047,0.05,424.64,92662
0.0001,354,0.925271213054657,84.56379432,876,371969,1050,0.05,428.48,92967
0.0001,354,0.2658655345439911,90.27047098999998,880,373630,1054,0.05,431.72,93382
0.0001,354,0.25021347403526306,93.9330558,884,375458,1059,0.05,439.48,93839
0.0001,354,0.7240892052650452,92.52083213,888,376581,1062,0.05,437.02,94120
0.0001,354,0.23533914983272552,97.22496921999996,892,379010,1068,0.05,441.68,94727
0.0001,354,0.14183804392814636,96.59729584999997,896,380536,1072,0.05,442.83,95108
0.0001,355,0.8812484741210938,99.61652919,900,382216,1076,0.05,443.67,95528
0.0001,355,0.2865254282951355,95.11167527999999,904,383641,1080,0.05,438.1,95885
0.0001,355,0.9819739460945129,95.17316121000002,908,384909,1083,0.05,434.21,96202
0.0001,355,2.3728113174438477,94.64576072,912,386382,1087,0.05,436.43,96570
0.0001,355,2.053239583969116,94.10272985,916,387751,1090,0.05,431.28,96912
0.0001,355,0.17991048097610474,102.1254827,920,389200,1093,0.05,430.74,97274
0.0001,355,0.6050438284873962,105.92968186,924,390833,1098,0.05,426.18,97683
0.0001,356,3.199985980987549,107.64012991000001,928,392016,1100,0.05,419.33,97978
0.0001,356,0.21481722593307495,111.07020059999999,932,393553,1104,0.05,417.44,98363
0.0001,356,0.08830754458904266,114.96762117999997,936,395843,1110,0.05,416.31,98935
0.0001,356,0.29584649205207825,119.23145408,940,396982,1113,0.05,405.45,99220
0.0001,356,1.4656795263290405,120.5914465,944,398684,1118,0.05,401.71,99645
0.0001,356,0.13597312569618225,127.15877222999998,948,400721,1123,0.05,411.11,100155
0.0001,356,0.36598265171051025,132.54145846,952,402751,1129,0.05,413.25,100662
0.0001,356,0.22072052955627441,132.88512916,956,405457,1137,0.05,421.35,101339
0.0001,355,0.18478178977966309,131.55733795,960,407801,1145,0.05,425.1,101925
0.0001,356,0.7839125394821167,131.82488911000002,964,409114,1148,0.05,415.6,102253
0.0001,356,0.18754138052463531,133.35845557000002,968,410963,1153,0.05,423.36,102715
0.0001,356,0.13118143379688263,130.0209193,972,411846,1155,0.05,410.94,102936
0.0001,356,0.6700119972229004,131.31680582,976,414181,1161,0.05,422.12,103520
0.0001,356,0.3000517785549164,129.54862247,980,416304,1166,0.05,426.74,104050
0.0001,356,0.2468581348657608,134.79121982,984,418052,1171,0.05,425.94,104487
0.0001,356,0.5754705667495728,141.85266330000002,988,420237,1177,0.05,436.56,105034
0.0001,356,0.3146972954273224,137.61056671999998,992,421559,1181,0.05,425.49,105364
0.0001,357,1.0358467102050781,136.11834119000002,996,422815,1184,0.05,422.79,105678
0.0001,357,1.1735284328460693,129.01139211,1000,423890,1187,0.05,416.74,105947
0.0001,357,0.16526134312152863,133.23195954,1004,425389,1190,0.05,417.48,106322
0.0001,357,0.25123509764671326,130.69380846,1008,426894,1194,0.05,419.85,106698
0.0001,357,0.8225934505462646,130.66768877,1012,427854,1197,0.05,414.72,106938
0.0001,357,0.07755233347415924,132.90746201,1016,429721,1202,0.05,419.7,107405
0.0001,357,0.09630651772022247,128.89546153,1020,431266,1206,0.05,420.66,107791
0.0001,357,1.0226644277572632,127.43656806999999,1024,432995,1210,0.05,421.62,108223
0.0001,357,2.421204090118408,121.51308591000002,1028,434107,1213,0.05,420.91,108501
0.0001,357,0.13662269711494446,121.17927174,1032,435977,1218,0.05,424.24,108969
0.0001,357,1.048310399055481,119.36679954000002,1036,437444,1222,0.05,416.01,109335
0.0001,358,0.19841843843460083,113.91417479,1040,438121,1223,0.05,411.39,109505
0.0001,357,0.8246397376060486,108.51535506,1044,439599,1227,0.05,409.15,109874
0.0001,358,0.16834567487239838,103.59553036,1048,440876,1231,0.05,401.55,110193
0.0001,358,1.3698745965957642,96.17451142000002,1052,442123,1234,0.05,393.72,110505
0.0001,358,0.2510789632797241,93.09015328,1056,443069,1236,0.05,376.12,110742
0.0001,358,0.3298215866088867,89.32911749,1060,444457,1239,0.05,366.56,111089
0.0001,358,1.3392597436904907,92.5333642,1064,446474,1245,0.05,373.6,111593
0.0001,358,1.972561240196228,91.15055665,1068,447941,1248,0.05,369.78,111960
0.0001,358,0.19363585114479065,95.54967778999999,1072,449386,1252,0.05,375.4,112321
0.0001,358,0.20559999346733093,91.0073482,1076,450412,1254,0.05,362.31,112577
0.0001,359,3.831852674484253,86.53881981,1080,451352,1256,0.05,350.48,112812
0.0001,359,0.3967142403125763,83.31254126,1084,453681,1263,0.05,356.29,113395
0.0001,359,1.1417218446731567,78.49254738,1088,454468,1264,0.05,342.31,113591
0.0001,359,1.3556524515151978,83.41699669000002,1092,456125,1269,0.05,345.66,114006
0.0001,359,0.17331719398498535,86.93183329000003,1096,457165,1271,0.05,343.5,114266
0.0001,359,0.22803126275539398,92.06617687000004,1100,458050,1273,0.05,341.6,114487
0.0001,359,0.1440402865409851,90.39166261,1104,459626,1277,0.05,342.37,114881
0.0001,359,0.08313266932964325,92.53069281,1108,460986,1281,0.05,340.92,115221
0.0001,359,0.11906881630420685,97.24016529000001,1112,462552,1285,0.05,346.98,115612
0.0001,359,0.19643670320510864,95.83760518000001,1116,463817,1288,0.05,340.96,115929
0.0001,360,0.38801705837249756,100.74796438000001,1120,465535,1292,0.05,342.69,116358
0.0001,360,0.24968986213207245,99.34304522000001,1124,466610,1295,0.05,336.15,116627
0.0001,360,0.3475438356399536,103.42987109000002,1128,467682,1297,0.05,335.75,116895
0.0001,360,0.19906985759735107,103.50886462000003,1132,468722,1300,0.05,327.45,117155
0.0001,360,0.23262891173362732,105.99356494000001,1136,470329,1304,0.05,328.85,117557
0.0001,360,0.09989571571350098,114.18190609999999,1140,471689,1307,0.05,335.68,117897
0.0001,360,0.2981571555137634,119.44700251,1144,474824,1317,0.05,352.25,118680
0.0001,360,0.13633012771606445,122.05401147999999,1148,476939,1323,0.05,360.63,119209
0.0001,360,0.2123633325099945,121.43143562000002,1152,477957,1325,0.05,358.34,119464
0.0001,360,0.2810801863670349,126.92246741000001,1156,480209,1332,0.05,371.4,120027
0.0001,360,0.11239267885684967,130.53933212,1160,481577,1335,0.05,371.2,120369
0.0001,360,0.61970454454422,131.20997402999998,1164,483899,1342,0.05,374.25,120949
0.0001,360,0.6303076148033142,131.57353522,1168,485586,1346,0.05,376.45,121371
0.0001,360,0.3603294789791107,130.93289027,1172,487157,1350,0.05,377.71,121764
