train/learning_rate,train/value_loss,train/policy_loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,time/fps,train/entropy_loss,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean
0.0007,0.0008140710997395217,0.0005686197546310723,-4.3518571853637695,40199,82.07,370,-0.3451906442642212,40200,543,201000,82.07
0.0007,0.0004464938829187304,-0.001999248517677188,-5.492725849151611,40299,85.69,370,-0.41601189970970154,40300,544,201500,85.69
0.0007,0.0031370148062705994,-0.02352587692439556,-64.13370513916016,40399,88.25,370,-0.43019333481788635,40400,545,202000,88.25
0.0007,0.00022874154092278332,-0.0031204952392727137,-121.44435119628906,40499,88.25,370,-0.5062952041625977,40500,546,202500,88.25
0.0007,0.4194067120552063,0.24064438045024872,-2.0829737186431885,40599,91.08,371,-0.5143952369689941,40600,546,203000,91.08
0.0007,8.054459613049403e-05,-0.004171469714492559,-19.67747688293457,40699,94.92,371,-0.45789608359336853,40700,547,203500,94.92
0.0007,0.00019038909522350878,-0.0007320732693187892,-421.9998474121094,40799,98.97,371,-0.3753524422645569,40800,548,204000,98.97
0.0007,0.0002065902081085369,-0.006569476332515478,-14.510533332824707,40899,102.89,371,-0.3528594970703125,40900,549,204500,102.89
0.0007,1.6736228644731455e-05,-0.00030302401864901185,-8.95676326751709,40999,107.36,372,-0.3541630804538727,41000,550,205000,107.36
0.0007,7.033594010863453e-05,0.0012253143358975649,-22.454748153686523,41099,111.5,372,-0.3559410870075226,41100,551,205500,111.5
0.0007,9.304869308834895e-05,-0.005813989322632551,-18.973379135131836,41199,116.09,372,-0.32715582847595215,41200,552,206000,116.09
0.0007,1.1364987585693598e-05,-0.0013858273159712553,-3.8936729431152344,41299,120.81,372,-0.35611316561698914,41300,553,206500,120.81
0.0007,0.0002200400922447443,0.004077606834471226,-33.212486267089844,41399,125.52,373,-0.23542599380016327,41400,554,207000,125.52
0.0007,0.00010258098336635157,-0.00014343918883241713,-5959.60791015625,41499,130.27,373,-0.2735050618648529,41500,555,207500,130.27
0.0007,9.508233233646024e-06,-0.0005862152320332825,-45.28894805908203,41599,134.66,373,-0.3066568970680237,41600,556,208000,134.66
0.0007,1.5221047760860529e-05,0.000256797531619668,-29.604787826538086,41699,139.34,374,-0.2738775610923767,41700,557,208500,139.34
0.0007,7.442129117407603e-06,0.000702711462508887,-1.4594333171844482,41799,144.01,374,-0.4326811730861664,41800,558,209000,144.01
0.0007,3.4947297535836697e-06,3.938992085750215e-05,-725.3407592773438,41899,148.62,374,-0.3191189169883728,41900,559,209500,148.62
0.0007,1.009684092423413e-05,8.690512186149135e-05,-265.3280334472656,41999,153.14,374,-0.2853577733039856,42000,560,210000,153.14
0.0007,3.01857253361959e-05,0.0002334432938368991,-22.343137741088867,42099,157.47,375,-0.2553757131099701,42100,561,210500,157.47
0.0007,3.961078164138598e-06,-0.00033431878546252847,-846.996337890625,42199,162.09,375,-0.23638959228992462,42200,562,211000,162.09
0.0007,3.4195022635685746e-06,-0.00015163463831413537,-3.860370635986328,42299,166.64,375,-0.25562432408332825,42300,563,211500,166.64
0.0007,1.8338394511374645e-05,0.0006330288597382605,-11.587547302246094,42399,171.2,375,-0.2857782244682312,42400,564,212000,171.2
0.0007,1.0165315870835911e-05,0.0004151135799475014,-8.056941986083984,42499,175.52,376,-0.28087756037712097,42500,565,212500,175.52
0.0007,9.454682185605634e-06,2.2540467398357578e-05,-288.90533447265625,42599,180.23,376,-0.2605028450489044,42600,565,213000,180.23
0.0007,2.626469495226047e-06,-3.84044942620676e-05,-21.537368774414062,42699,184.73,376,-0.28308558464050293,42700,566,213500,184.73
0.0007,1.797190634533763e-05,-0.0006671133451163769,-1.7078564167022705,42799,189.41,376,-0.31868067383766174,42800,567,214000,189.41
0.0007,2.053659500234062e-06,4.240004636812955e-05,-10.001171112060547,42899,194.18,377,-0.29604271054267883,42900,568,214500,194.18
0.0007,4.497624559007818e-06,-0.001216394710354507,-11.026341438293457,42999,198.98,377,-0.41665616631507874,43000,569,215000,198.98
0.0007,2.9634452403115574e-06,-4.597794031724334e-05,-37.33429718017578,43099,203.79,377,-0.2868906259536743,43100,570,215500,203.79
